,Term,ID,Definition,Synonyms,HPO_ID
12074,Focal cortical dysplasia,0032046,"A type of malformation of cortical development that primarily affects areas of neocortex. It can be identified on conventional magnetic resonance imaging as focal cortical thickening, abnormal gyration, and blurring between gray and white matter, often associated with clusters of heterotopic neurons.",,HP:0032046
12075,Focal cortical dysplasia type I,0032047,A type of focal cortical dysplasia that is characterized by abnormal cortical layering.,,HP:0032047
12076,Focal cortical dysplasia type Ia,0032048,A subtype of focal cortical dysplasia type I that is characterized by abnormal radial cortical lamination.,,HP:0032048
12077,Focal cortical dysplasia type Ib,0032049,A subtype of focal cortical dysplasia type I that is characterized by abnormal tangential cortical lamination.,,HP:0032049
12078,Focal cortical dysplasia type Ic,0032050,A subtype of focal cortical dysplasia type I that is characterized by abnormal radial and tangential cortical lamination.,,HP:0032050
12079,Focal cortical dysplasia type II,0032051,A type of focal cortical dysplasia that is characterized by disrupted cortical lamination and specific cytological abnormalities.,,HP:0032051
12080,Focal cortical dysplasia type IIa,0032052,"A subtype of focal cortical dysplasia type II that is characterized by dysmorphic neurons, which present with a significantly enlarged cell body and nucleus, malorientation, abnormally distributed intracellular Nissl substance and cytoplasmic accumulation of neurofilament proteins.",,HP:0032052
12081,Focal cortical dysplasia type IIb,0032053,A subtype of focal cortical dysplasia type II that is characterized by dysmorphic neurons (significantly enlarged with accumulation of neurofilament proteins) and balloon cells.,,HP:0032053
12082,Focal cortical dysplasia type III,0032054,"A type of focal cortical dysplasia that is characterized by cortical lamination abnormalities associated with a principal lesion, usually adjacent to or affecting the same cortical area/lobe.",,HP:0032054
12083,Focal cortical dysplasia type IIIa,0032055,A subtype of focal cortical dysplasia type III that is characterized by alterations in architectural organisation (cortical dyslamination) or cytoarchitectural composition (hypertrophic neurons outside Layer 5) in patients with hippocampal sclerosis (also known as Ammon's horn sclerosis).,,HP:0032055
12084,Focal cortical dysplasia type IIIb,0032056,"A subtype of focal cortical dysplasia type III that is characterized by altered architectural (cortical dyslamination, hypoplasia without six-layered structure) and/or cytoarchitectural composition (hypertrophic neurons) of the neocortex, which occur adjacent to glial or glioneuronal tumor.",,HP:0032056
12085,Focal cortical dysplasia type IIIc,0032057,"A subtype of focal cortical dysplasia type III that is characterized by alterations in architectural (cortical dyslamination, hypoplasia) or cytoarchitectural composition of the neocortex (hypertrophic neurons), which occur adjacent to vascular malformations (cavernomas, arteriovenous malformations, leptomeningeal vascular malformations, telangiectasias, meningioangiomatosis).",,HP:0032057
12086,Focal cortical dysplasia type IIId,0032058,"A subtype of focal cortical dysplasia type III that is characterized by altered architectural (cortical dyslamination, hypoplasia without six-layered structure) or cytoarchitectural composition (hypertrophic neurons) of the neocortex, which occur adjacent to other lesions acquired during early life (not included into FCD Type IIIa-c). These lesions comprise a large spectrum including traumatic brain injury, glial scarring after prenatal or perinatal ischemic injury or bleeding, and inflammatory or infectious diseases, i.e. Rasmussen encephalitis, limbic encephalitis, bacterial or viral infections.",,HP:0032058
12087,Mild malformation of cortical development,0032059,A malformation of cortical development characterized by mild abnormalities of the cortex: excessive heterotopic neurons in Layer 1 or microscopic neuronal clusters or excess of single neurons of normal morphology in deep white matter.,,HP:0032059
12088,Epithelioid hemangioma,0032060,"A benign neoplasm that includes blood vessel proliferation and a dense eosinophilic inflammatory infiltrate, manifesting as flesh/plum-colored pruritic nodules and papules, most commonly affecting the ear and the periauricular area.",Angiolymphoid hyperplasia with eosinophilia,HP:0032060
12089,Hypereosinophilia,0032061,A severely increased count of eosinophils in the blood defined as a blood eosinophil count of at least 1.5 billion cells per liter.,,HP:0032061
12090,Mallory-Weiss tear,0032062,Vomiting-induced mucosal laceration at the esophago-gastric junction.,,HP:0032062
12091,Ankle joint effusion,0032063,Abnormal accumulation of fluid in or around the ankle joint.,,HP:0032063
12092,Gastrointestinal eosinophilia,0032064,"Eosinophilic infiltration of one or more gastrointestinal organs. Gastrointestinal eosinophilia is a broad term for abnormal eosinophil accumulation in the GI tract, involving many different disease identities. These diseases include primary eosinophil associated gastrointestinal diseases, gastrointestinal eosinophilia in HES and all gastrointestinal eosinophilic states associated with known causes. Each of these diseases has its unique features but there is no absolute boundary between them.","Eosinophilic enteritis, Eosinophilic gastroenteritis, GI eosinophilia",HP:0032064
12093,Abnormal serum bicarbonate concentration,0032065,"Any deviation from the normal concentration of bicarbonate, HCO3[-], in the circulation.",Abnormal serum HCO3 concentration,HP:0032065
12094,Decreased serum bicarbonate concentration,0032066,"An abnormal reduction of the concentration of bicarbonate, HCO3[-], in the circulation.",Decreased serum HCO3 concentration,HP:0032066
12095,Elevated serum bicarbonate concentration,0032067,"An abnormal increase in the concentration of bicarbonate, HCO3[-], in the circulation.",Elevated serum HCO3 concentration,HP:0032067
12096,Increased urinary mucus,0032068,"An increased amount of urinary mucus. A small amount of mucus is produced by mucous membrane epithelial cells of the urinary tract. An increased amount of mucus can be detected upon urinalysis or other assays and may indicate conditions such as urinary tract infection, urinary tract reconstruction involving the use of bowel segments, or contamination of the urine sample prior to urinalysis.",,HP:0032068
12097,Anti-thyroglobulin antibody positivity,0032069,The presence of autoantibodies (immunoglobulins) in the serum that react to thyroglobulin.,"Anti-thyroid globulin antibody positivity, TgAbs",HP:0032069
12098,Leptomeningeal enhancement,0032070,"Contrast material enhancement of the pia mater or enhancement that extends into the subarachnoid spaces of the sulci and cisterns is leptomeningeal enhancement. Leptomeningeal enhancement is usually associated with meningitis, which may be bacterial, viral, or fungal. The primary mechanism of this enhancement is breakdown of the blood-brain barrier without angiogenesis.",,HP:0032070
12099,Eosinophilic pneumonia,0032071,"The presence of eosinophils in lung tissue, generally as detected by tissue biopsy, with or without blood eosinophilia.","Eosinophilic pulmonary infiltration, Pulmonary eosinophilic infiltrate, Pulmonary eosinophilic infiltration",HP:0032071
12100,Popliteal synovial cyst,0032072,"A fluid-filled mass that is a distention of a preexisting bursa in the popliteal fossa, most commonly the gastrocnemio-semimembranosus bursa. This bursa is unique in that it communicates with the knee joint, unlike other periarticular bursae, via an opening in the joint capsule posterior to the medial femoral condyle.",Baker's cyst,HP:0032072
12101,Aplasia of the fallopian tube,0032073,"Aplasia, that is failure to develop, of the fallopian tube.",,HP:0032073
12102,Splenopancreatic fusion,0032075,Fusion of the pancreatic tail and spleen.,,HP:0032075
12103,Abnormal male urethral meatus morphology,0032076,,,HP:0032076
12104,Male urethral meatus stenosis,0032077,An abnormal narrowing of the urethral opening (meatus) of the penis.,"Meatal stenosis, Meatus stenosis",HP:0032077
12105,Angel-shaped phalanx,0032078,"A phalangeal malformation that is termed angel-shaped phalanx (ASP), because of its resemblance to the angels used for decoration of Christmas trees. The various components of an angel-shaped phalanx are: diaphyseal cuff (wings), surrounding a meta-diaphyseal core (body), which may appear empty or structured with a cone-shaped epiphysis (skirt) and pseudoepiphysis (head).",,HP:0032078
12106,Medial degeneration,0032079,"Medial degeneration of the aorta is to be used as an overarching term for any aortic surgical specimens that demonstrate one or more of the specific histopathologies mucoid extracellular matrix accumulation, elastic fiber fragmentation and/or loss, elastic fiber thinning, elastic fiber disorganization, smooth muscle cell nuclei loss, laminar medial collapse, smooth muscle cell disorganization, medial fibrosis. Grading of medial degeneration is based on the average overall severity of specific histopathologies as described, considering the worst area(s) sampled from multiple slides and aorta sections.",,HP:0032079
12107,Intralamellar mucoid extracellular matrix accumulation,0032081,A type of mucoid extracellular matrix accumulation in which the increase in mucoid extracellular matrix does not significantly alter the arrangement of the lamellar units.,,HP:0032081
12108,Translamellar mucoid extracellular matrix accumulation,0032082,A type of mucoid extracellular matrix accumulation in which the increase in mucoid extracellular matrix alters the arrangement of the lamellar units to varying degrees.,,HP:0032082
12109,Aortic elastic fiber fragmentation,0032083,"Loss and/or fragmentation of elastic fibers of the media of the aorta creating increasingly extended translamellar spaces, with absence of elastic fibers, and increased gaps in elastic fiber lamellae as identified on a stain for elastic fibers.",Aortic elastic fibre fragmentation,HP:0032083
12110,Aortic elastic fiber thinning,0032084,"A thinning out of elastic fibers of the media of the aorta that creates widening of intralamellar spaces, as identified on a stain for elastic fibers.",Aortic elastic fibre thinning,HP:0032084
12111,Aortic elastic fiber disorganization,0032085,Nonparallel arrangement/disarray of elastic fibers of the media of the aorta as identified on a stain for elastic fibers.,Aortic elastic fibre disorganisation,HP:0032085
12112,Aortic smooth muscle cell nuclei loss,0032086,"A region of the aortic media in which smooth muscle cell nuclei, involving multiple lamellae, are not clearly identifiable on an hematoxylin and eosin stain.",,HP:0032086
12113,Aortic laminar medial collapse,0032087,"Architecturally, a compaction of aortic medial elastic fibers that creates thinning of the lamellar unit secondary to a band-like smooth muscle cell loss identified using a stain for elastic fibers.",,HP:0032087
12114,Aortic smooth muscle cell disorganization,0032088,Nonparallel arrangement/disarray of smooth muscle cells of the aortic media creating focal/multifocal disarray or sometimes nodular aggregates of smooth muscle cells.,Aortic smooth muscle cell disorganisation,HP:0032088
12115,Aortic medial fibrosis,0032089,An increase in collagen fibers creating areas of substitutive fibrosis or a widening of intralamellar spaces in the media of the aorta. This can be seen in conjunction with a loss to varying degrees of parallel arrangement of the elastic lamellae (or lamellar units).,,HP:0032089
12116,Intralamellar aortic medial fibrosis,0032090,A type of aortic medial fibrosis in which the increase in collagen does not significantly alter the arrangement of the lamellar units.,,HP:0032090
12117,Translamellar aortic medial fibrosis,0032091,"A type of aortic medial fibrosis in which the increase in collagen is more scar-like, altering the arrangement of the lamellar units.",,HP:0032091
12118,Left ventricular outflow tract obstruction,0032092,"Left ventricular outflow tract (LVOT) obstruction can occur at the valvular, subvalvular, or supravalvular level. In general, there is an obstruction to forward flow which increases afterload, and if untreated, can result in hypertrophy, dilatation, and eventual failure of the left ventricle.",,HP:0032092
12119,Increased circulating surfactant protein level,0032094,"An increased concentration of a surfactant protein in the blood circulation. Pulmonary surfactant is a highly surface-active mixture of proteins and lipids that is synthesized and secreted onto the alveoli by type II epithelial cells. The protein part of surfactant constitutes of four types of surfactant proteins (SP), SP-A, SP-B, SP-C and SP-D. SP-A and SP-D are hydrophilic proteins that regulate surfactant metabolism and have immunologic functions. These two proteins are detectable in the bloodstream and an elevated level may reflect idiopathic pulmonary fibrosis.",Increased serum surfactant protein level,HP:0032094
12120,Abnormal manganese concentration,0032096,A deviation from the normal range of manganese in the blood circulation.,,HP:0032096
12121,Hypermanganesemia,0032097,An elevation above the normal concentration of manganese in the blood.,Increased blood manganese concentration,HP:0032097
12122,Hypomanganesemia,0032098,A reduction below the normal concentration of manganese in the blood.,,HP:0032098
12123,Perioral radial furrowing,0032099,The presence of radial grooves in the skin surrounding the mouth (see Figure 4 of PMID:27833976).,,HP:0032099
12124,Abnormal doll's eye reflex,0032100,The doll's eye reflex (also known as oculocephalic reflex) is a test of brain function that is performed in comatose patients by elevating the head roughly 30 degrees and rapidly rotating the head from side to side with the eyes kept open. A normal response is for the eyes to move in the opposite direction. If the eyes do not move in the opposite direction this may indicate severe brain damage.,,HP:0032100
12125,Unusual infection,0032101,"A type of infection that is regarded as a sign of a pathological susceptibility to infection. There are five general subtypes. (i) Opportunistic infection, meaning infection by a pathogen that is not normally able to cause infection in a healthy host (e.g., pneumonia by Pneumocystis jirovecii or CMV); (ii) Unusual location (focus) of an infection (e.g., an aspergillus brain abscess); (iii) a protracted course or lack of adequate response to treatment (e.g., chronic rhinosinusitis); (iv) Unusual severity or intensity of an infection; and (v) unusual recurrence of infections.",,HP:0032101
12126,Wilson sign,0032102,Wilson sign is defined as the elicitation of pain by internally rotating the patient's tibia during knee extension between 90 degrees and 30 degrees of flexion and then relieving that pain by externally rotating the tibia.,,HP:0032102
12127,Saccadic oscillation,0032104,An involuntary abnormality of fixation in which there is an abnormal saccade away from fixation followed by an immediate corrective saccade.,Saccadic oscillations,HP:0032104
12128,Macrosaccadic oscillations,0032105,A type of saccadic oscillations with brief periods of fixation between saccades (intersaccadic interval approximately 200 msec). Macrosaccadic oscillations (up to 40 degrees) straddle the intended fixation position and show a crescendo-decrescendo pattern.,Macrosaccadic oscillation,HP:0032105
12129,Conjunctival icterus,0032106,Conjunctival icterus is a condition where there is yellowing of the whites of the eyes. This is most commonly seen in patients who have liver disease.,"Scleral icterus, Yellow conjunctiva, Yellow sclera, Yellowing of the whites of the eyes",HP:0032106
12130,Limbal stem cell deficiency,0032107,A condition characterized by a loss or deficiency of the stem cells in the limbus that are vital for re-population of the corneal epithelium and to the barrier function of the limbus.,,HP:0032107
12131,Mildly reduced contrast sensitivity,0032108,A mild reduction in the ability to perceive visual contrast characterized by 0.20-0.59 log unit contrast sensitivity loss.,Mild reduction in contrast sensitivity,HP:0032108
12132,Moderately reduced contrast sensitivity,0032109,A moderate reduction in the ability to perceive visual contrast characterized by 0.60-0.99 log unit contrast sensitivity loss.,Moderate reduction in contrast sensitivity,HP:0032109
12133,Severely reduced contrast sensitivity,0032110,A severe reduction in the ability to perceive visual contrast characterized by 1.00 log unit or more contrast sensitivity loss.,,HP:0032110
12134,Abnormal Vistech contrast sensitivity test,0032111,An abnormality in perception of contrast as measured by the Vistech wall chart sine wave grating test.,,HP:0032111
12135,Abnormal Pelli Robson contrast sensitivity chart test,0032112,"An abnormality in perception of contrast as measured by the Pelli-Robson contrast sensitivity chart, which is a large wall-mounted chart, with letters of a fixed size (comprising spatial frequencies appropriate for estimating peak contrast sensitivity) that decrease in contrast.",,HP:0032112
12136,Semidominant inheritance,0032113,"A mode of inheritance that is observed for traits related to a gene encoded on chromosomes in which a trait can manifest in a monoallelic (e.g. heterozygotes) and biallelic (e.g. homozygotes, compound heterozygotes) state, with similar or differing phenotype severity present dependent on the number of alleles affected.",Semidominant mode of inheritance,HP:0032113
12137,Saccadic intrusion,0032114,An involuntary abnormality of fixation in which there is an abnormal saccade away from fixation followed by a delayed corrective saccade.,,HP:0032114
12138,Macrosquare-wave jerks,0032116,Horizontal 10-40 degree excursions from fixation and back again.,,HP:0032116
12139,Retinitis,0032118,Inflammation of the retina of the eye.,,HP:0032118
12140,Narrow angle glaucoma,0032119,A type of glaucomatous optic neuropathy occuring in the presence of a narrow anterior chamber angle.,,HP:0032119
12141,Abnormal peripheral nervous system physiology,0032120,Any functional abnormality of the part of the nervous system that consists of the nerves and ganglia outside of the brain and spinal cord.,,HP:0032120
12142,Froment sign,0032121,An abnormal result of a physical examination of the the hand that tests for palsy of the ulnar nerve. This nerve innervates the adductor pollicis and interossei muscles and thereby enables adduction of the thumb and extension of the interphalangeal joint. An abnormal result consists in reduced functionality and muscular weakness in the pinch grip between the thumb and index finger of the affected hand as the patient attempts to pinch a piece of paper that the examiner tries to pull away. The flexor pollicis longus muscle tries to compensate for the weakness by flexing the tip of the thumb at the interphalangeal joint.,Froment thumb sign,HP:0032121
12143,Very low visual acuity,0032122,A reduction in visual acuity with best corrected visual acuity between 1.40 (20/500) and 1.89 logMAR (up to roughly 20/1590).,,HP:0032122
12144,Ultra-low vision,0032123,Best corrected visual acuity worse than 1.90 logMAR (roughly 20/1590).,,HP:0032123
12145,Abnormal proportion of unswitched memory B cells,0032124,A deviation of the normal proportion of unswitched memory B cells in circulation relative to the total number of B cells.,Abnormal proportion of non-class-switched memory B cells,HP:0032124
12146,Increased proportion of unswitched memory B cells,0032125,An increase above the normal proportion of non-class-switched memory B cells relative to the total number of B cells.,"Elevated proportion of unswitched memory B cells, Increased proportion of non-class-switched memory B cells",HP:0032125
12147,Decreased proportion of unswitched memory B cells,0032126,A reduction below the normal proportion of non-class-switched memory B cells relative to the total number of B cells.,"Decreased proportion of non-class-switched memory B cells, Reduced proportion of unswitched memory B cells",HP:0032126
12148,Abnormal plasmablast proportion,0032127,A deviation from the normal proportion of plasmablasts in circulation relative to total number of B cells. Plasmablasts are antibody-secreting cells that originate after infection or vaccination.,,HP:0032127
12149,Increased proportion of plasmablasts,0032128,An elevation above the normal proportion of plasmablasts in circulation relative to total number of B cells.,,HP:0032128
12150,Decreased proportion of plasmablasts,0032129,A reduction below the normal proportion of plasmablasts in circulation relative to total number of B cells.,,HP:0032129
12151,Mycobacterium abscessus abscessus infection,0032130,"Mycobacterium abscessus complex comprises a group of rapidly growing, multidrug-resistant, nontuberculous mycobacteria that are responsible for a wide spectrum of skin and soft tissue diseases, central nervous system infections, bacteremia, and ocular and other infections.",,HP:0032130
12152,Cervical dysplasia,0032131,Cervical dysplasia is the precursor to cervical cancer. It is caused by the persistent infection of the human papillomavirus (HPV) into the cervical tissue. Affected cells develop morphologic features with immature basaloid- type squamous cells and mitotic figures in the upper half of the cervical epithelium.,Uterine cervix dysplasia,HP:0032131
12153,Decreased circulating total IgG,0032132,A reduction beneath the normal level of total immunoglobulin G (IgG) in the blood.,,HP:0032132
12154,Transient decreased circulating total IgG,0032133,A temporary reduction beneath the normal level of total immunoglobulin G (IgG) in the blood.,,HP:0032133
12155,Chronic decreased circulating total IgG,0032134,A lasting reduction beneath the normal level of total immunoglobulin G (IgG) in the blood.,Chronic decreased total IgG in blood,HP:0032134
12156,Decreased circulating IgG subclass level,0032135,A reduction below the normal concentration of a subclass of immunoglobulin G (IgG) in the blood.,Decreased IgG subclass level in blood,HP:0032135
12157,Decreased circulating IgG1 level,0032136,A reduction in immunoglobulin levels of the IgG1 subclass in the blood circulation.,Decreased IgG1 level in blood,HP:0032136
12158,Decreased circulating IgG3 level,0032137,A reduction in immunoglobulin levels of the IgG3 subclass in the blood circulation.,Decreased IgG3 level in blood,HP:0032137
12159,Decreased circulating IgG4 level,0032138,A reduction in immunoglobulin levels of the IgG4 subclass in the blood circulation.,Decreased IgG4 level in blood,HP:0032138
12160,Reduced isohemagglutinin level,0032139,"Level of isohemagglutinin reduced below expected concentration. An isohemagglutinin refers to the naturally occurring antibodies in the ABO blood group system (i.e., anti-A in a group B person, anti-B in a group A person, and anti-A, anti-B, and anti-A,B in a group O person).","Decreased natural antibody to blood group agents, Partial absence of isohemagglutinins",HP:0032139
12161,Decreased specific antibody response to vaccination,0032140,"A reduced ability to synthesize postvaccination antibodies against toxoids and polysaccharides in vaccines, as measured by antibody titer determination following vaccination.",,HP:0032140
12162,Precordial pain,0032141,"A type of chest pain that arises in the or under the left breast and often described as throbbing, stabbing, or burning, and lasting hours or longer. The pain may arise with or after effort, and may spread to the left arm or left side of the neck.",,HP:0032141
12163,Fetor hepaticus,0032142,"Fetor hepaticus is the characteristic breath of patients with severe parenchymal liver disease, which has been said to resemble the odor of a mixture of rotten eggs and garlic.",Foetor hepaticus,HP:0032142
12164,Burning mouth,0032143,"An intense sensation of burning, scalding, or tingling feeling of the tongue or other regions of the oral mucosa.",,HP:0032143
12165,Coffee ground vomitus,0032144,"Vomit that has the appearance of coffee grounds, which occurs due to the presence of coagulated blood in the vomit.","Coffee grounds emesis, Coffee grounds vomiting",HP:0032144
12166,Sural nerve atrophy,0032145,"Wasting of the sural nerve, a sensory nerve in the calf region of the leg.",Atrophy of sural nerve,HP:0032145
12167,HbC hemoglobin,0032146,Presence of an abnormal type of hemoglobin characterized by the subsitution of a glutamic acid residue at position 7 following the initial methionine residue by a lysine (6GAG>6AAG). The presence of HbC can be determined by hemoglobin electrophoresis.,"Haemoglobin C, HbC haemoglobin, Hemoglobin C",HP:0032146
12168,Erythromelalgia,0032147,"Recurrent episodes of redness, burning pain, and warmth of the extremities following exposure to heat or exercise with symptoms predominantly involving the feet.",,HP:0032147
12169,Episodic pain,0032148,"Intermittent pain, i.e., pain that occurs occasionally and at irregular intervals.",,HP:0032148
12170,Breakthrough pain,0032149,"A episode of severe pain that breaks through (i.e., temporarily exacerbates) a period of persistent pain.",,HP:0032149
12171,Paroxysmal rectal pain,0032150,Excruciating burning pain in the rectal area that may be triggered by defecation.,,HP:0032150
12172,Episodic eosinophilia,0032151,Recurrent episodes of marked eosinophilia that resolve spontaneously.,,HP:0032151
12173,Keratosis pilaris,0032152,"An anomaly of the hair follicles of the skin that typically presents as small, rough, brown folliculocentric papules distributed over characteristic areas of the skin, particularly the outer-upper arms and thighs.","Carpet tack sign, Chicken skin, Follicular keratosis, Follicular keratotic plug, Follicular plugging, Hyperkeratosis pilaris, Lichen pilaris",HP:0032152
12174,Joint subluxation,0032153,A partial dislocation of a joint.,,HP:0032153
12175,Aphthous ulcer,0032154,"Oral aphthous ulcers typically present as painful, sharply circumscribed fibrin-covered mucosal defects with a hyperemic border.",Canker sore,HP:0032154
12176,Abdominal cramps,0032155,A type of abdominal pain characterized by a feeling of contractions and typically fluctuating in intensity.,,HP:0032155
12177,Skin detachment,0032156,Loss of sections of skin either spontaneously or after gentle handling.,"Detached skin, Epidermal detachment, Skin sloughing",HP:0032156
12178,Recurrent genital herpes,0032157,"Recurrent episodes of genital herpes, typically characterized by stages of erythema, papules, short-lived vesicles, painful ulcers, and crusts on the skin of the genitals and surrounding area, and that typically resolve over a period of 2 to 3 weeks.",,HP:0032157
12179,Unusual infection by anatomical site,0032158,An unusual infection classified by the affected body part.,,HP:0032158
12180,Fungal meningitis,0032159,"An infection of the meninges caused by a fungus. Generally, only individuals with deficiencies of the immune system contract fungal meningitis.",,HP:0032159
12181,Cryptococcal meningitis,0032160,A type of fungal meningitis caused by an encapsulated yeast that belongs to the genus Cryptococcus. Cryptococcus neoformans and Cryptococcus gattii are responsible for the majority of cases of human cryptococcosis.,,HP:0032160
12182,Coccidioidal meningitis,0032161,A type of fungal meningitis caused by dissemination of coccidioides to basilar meninges.,,HP:0032161
12183,Unusual skin infection,0032162,A type of infection of the skin that can be regarded as a sign of a pathological susceptibility to infection.,,HP:0032162
12184,Molluscum contagiosum,0032163,"Molluscum contagiosum is a cutaneous viral infection that is commonly observed in both healthy and immunocompromised children. The infection is caused by a member of the Poxviridae family, the molluscum contagiosum virus. Molluscum contagiosum presents as single or multiple small white or flesh-colored papules that typically have a central umbilication. The central umbilication may be difficult to observe in young children and, instead, may bear an appearance similar to an acneiform eruption. The lesions vary in size (from 1 mm to 1 cm in diameter) and are painless, although a subset of patients report pruritus in the area of infection. On average, 11-20 papules appear on the body during the course of infection and generally remains a self-limiting disease. However, in immunosuppressed patients, molluscum contagiosum can be a severe infection with hundreds of lesions developing on the body. Extensive eruption is indicative of an advanced immunodeficiency state.",,HP:0032163
12185,Increased blood folate concentration,0032164,"An elevated circulating concentration of folic acid, which is also known as vitamin B9.",,HP:0032164
12186,Placental mesenchymal dysplasia,0032165,"Placental mesenchymal dysplasia is a rare anomaly characterized by placentomegaly, dilatation of chorionic vessels and hydropic stem villi with cistern-like formation. It is often clinically mistaken for a partial hydatidiform mole but there is no trophoblastic proliferation. P57 immunohistochemical expression is discordant, showing a normal positive expression in the cytotrophoblastic cells, and loss of expression in the stromal cells.",,HP:0032165
12187,Unusual gastrointestinal infection,0032166,,Unusual GI infection,HP:0032166
12188,Clostridium difficile enteritis,0032167,An infection of the small intestine (enteritis) by clostridium difficile.,C. difficile enteritis,HP:0032167
12189,Clostridium difficile colitis,0032168,An infection of the colon (colitis) by clostridium difficile.,,HP:0032168
12190,Severe infection,0032169,A type of infection that is regarded as a sign of a pathological susceptibility to infection because of unusual severity or intensity of the infection.,Unusual course of infection,HP:0032169
12191,Severe varicella zoster infection,0032170,"An unusually severe form of varicella zoster virus (VZV) infection. In the majority of the cases, especially in children, varicella is a very mild infection characterised by skin lesions, low grade fever and malaise. Severe infection is characterized by manifestions including VZV pneumonia, hepatitis, meningitis, and disseminated varicella.",,HP:0032170
12192,Bladder pain,0032171,"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the urinary bladder. Bladder pain may be more pronounced with a full bladder and relieved upon urination, but this is not always the case.",,HP:0032171
12193,Air crescent sign,0032172,A crescent of air surrounding a soft-tissue mass in a pulmonary cavity and can be seen in both plain X-ray and CT scan.,,HP:0032172
12194,Continuous diaphragm sign,0032173,"This sign is seen in pneumomediastinum in which air accumulates between the lower border of the heart and the superior part of the diaphragm, which results in complete visualization of the diaphragm in chest X-ray, hence named continuous diaphragm sign.",,HP:0032173
12195,Tree-in-bud pattern,0032174,"The tree-in-bud pattern represents centrilobular branching structures that resemble a budding tree. The pattern reflects a spectrum of endo- and peribronchiolar disorders, including mucoid impaction, inflammation, and/or fibrosis (See Figure 70 of PMID:18195376).",,HP:0032174
12196,Signet ring sign,0032175,"This finding is composed of a ring-shaped opacity representing a dilated bronchus in cross section and a smaller adjacent opacity representing its pulmonary artery, with the combination resembling a signet (or pearl) ring. It is the basic sign of bronchiectasis in pulmonary computed tomography imaging.",,HP:0032175
12197,Apical pulmonary opacity,0032176,"An apical cap is a caplike lesion at the lung apex, usually caused by intrapulmonary and pleural fibrosis pulling down extrapleural fat or possibly by chronic ischemia resulting in hyaline plaque formation on the visceral pleura. The prevalence increases with age. It can also be seen in hematoma resulting from aortic rupture or in other fluid collection associated with infection or tumor, either outside the parietal pleura or loculated within the pleural space.","Apical cap, Apical pleural thickening",HP:0032176
12198,Parenchymal consolidation,0032177,"Consolidation refers to an exudate or other product of disease that replaces alveolar air, rendering the lung solid (as in infective pneumonia).",,HP:0032177
12199,Flaky paint dermatosis,0032178,"A dermatosis characterized by generalized shiny, enamel-like, hyperpigmented scales in an irregular pattern. The scales may peel or desquamate, rather like old, sun-baked blistered paint, often with areas of underlying hypopigmentation. This has led to the terms peeling paint or flaky paint dermatosis (See the Figure in PMID:24285001).",Flaky paint skin appearance,HP:0032178
12200,Abnormal circulating globulin concentration,0032179,"An abnormal concentration of globulins in the blood. Albumin makes up more than half of the total protein present in serum. The remaining blood proteins except albumin and fibrinogen (which is not in serum) are referred to as globulins. The globulin fraction includes hundreds of serum proteins including carrier proteins, enzymes, complement, and immunoglobulins. Most of these are synthesized in the liver, although the immunoglobulins are synthesized by plasma cells. Globulins are divided into four groups by electrophoresis. The four fractions are alpha1, alpha2, beta and gamma, depending on their migratory pattern between the anode and the cathode.",Abnormal circulating globulin level,HP:0032179
12201,Abnormal circulating metabolite concentration,0032180,An abnormal level of an analyte measured in the blood.,,HP:0032180
12202,Anomalous hepatic venous drainage into the left atrium,0032181,"An abnormality of the hepatic veins, which normally drain de-oxygenated blood from the liver into the inferior vena cava, whereby the hepatic veins drain into the left atrium.",,HP:0032181
12203,Abnormal proportion of memory T cells,0032182,An abnormal proportion of memory T cells compared to the total number of T cells in the blood. Memory T cells have previously encountered and responded to their cognate antigen and upon a repeated encounter with the antigen can mount a faster and stronger response.,Abnormal proportion of CD4+CD29+ cells,HP:0032182
12204,Decreased proportion of memory T cells,0032183,An abnormally reduced proportion of memory T cells compared to the total number of T cells in the blood.,Decreased proportion of CD4+CD29+ cells,HP:0032183
12205,Increased proportion of memory T cells,0032184,An abnormally elevated proportion of memory T cells compared to the total number of T cells in the blood.,Increased proportion of CD4+CD29+ cells,HP:0032184
12206,Disseminated molluscum contagiosum,0032185,The presense of molluscum contagiosum lesions across multiple areas of the body.,,HP:0032185
12207,Anal neoplasm,0032186,A benign or malignant neoplasm that affects the anal canal or anal margin.,,HP:0032186
12208,Anal intraepithelial neoplasia,0032187,Anal intraepithelial neoplasia (AIN) is a premalignant lesion of the anal mucosa that is a precursor to anal cancer.,,HP:0032187
12209,Cellular hypersensitivity to mitomycin C,0032188,"An increased cellular sensitivity to the DNA cross-linking agent, mitomycin C (MMC). In the presence of increased sensitivity, MMC causes increased cell death, chromosome breakage, and accumulation in the G2 phase of the cell cycle.",,HP:0032188
12210,Cellular hypersensitivity to diepoxybutane,0032189,"An increased cellular sensitivity to the DNA cross-linking agent, diepoxybutane (DEB). In the presence of increased sensitivity, DEB causes cell death, chromosome breakage, and accumulation in the G2 phase of the cell cycle.",,HP:0032189
12211,Abnormal meniscus morphology,0032190,"Abnormal structure of the meniscus of the knee, two crescent shape fibrocartilaginous pads that disperse the weight of the body and reduce friction of the knee joint during movement.",,HP:0032190
12212,Torn meniscus,0032191,A tear in the cartilaginous pad (meniscus) of the knee.,,HP:0032191
