Term,ID,Definition,Synonyms
Elevated circulating 1-methylhistidine concentration,33301,An abnormally increased level of 1-methylhistidine in the blood circulation. 1-methylhistidine is a derivative of L-histidine.,
Elevated circulating 4-hydroxyphenylacetic acid concentration,33302,An abnormally increased concentration of 4-Hydroxyphenylacetic acid in the blood circulation.,
Elevated urinary monocarboxylic acid level,33303,Abnormally increased amount of a monocarboxylic acid in the urine. Monocarboxylic acids are molecules with one COOH functional group.,
Abnormal circulating fetuin A concentration,33305,Any deviation from the normal concentration of fetuin A in the blood circulation.,
Decreased circulating fetuin A concentration,33306,A reduction below normal of fetuin A in the blood circulation.,
Increased circulating fetuin A concentration,33307,An elevation above normal of fetuin A in the blood circulation.,
Patellar overgrowth,33308,Excessive growth of the kneecap (patella).,
Ileoileal intussusception,33309,A type of intussusception of the small intestine in which one part of the ileum invaginates (telescopes) into another part of the ileum.,
Osmotic diarrhea,33310,"Osmotic diarrhea results from the presence of osmotically active, poorly absorbed solutes in the bowel lumen that inhibit normal water and electrolyte absorption.",
Abdominal aortic dissection,33311,A tear in the intimal layer of the abdominal aorta causing a separation between the intima and the medial layers.,
Abnormal Bowman space morphology,33312,"Structural anomaly located in Bowman's space, which represents the beginning of the urinary space and is contiguous with the proximal convoluted tubule of the nephron.",
Urinary space collagenization,33313,"Acellular collagenous matrix within Bowman's space, not associated with extracapillary hypercellularity or necrosis, associated with sclerosis or deflation of the tuft.",Collagenization of the urinary space
Visceral epithelial cell hyperplasia,33314,"Increased number of visceral epithelial cells (2 or more layers), often with crowding and multilayering, but without continuity with the parietal epithelium.","Hyperplasia of visceral epithelial cells, Podocyte hyperplasia"
Visceral epithelial hyaline droplets,33315,"Round to ovoid, Periodic acid-Schiff (PAS)-positive, fuchsinophilic cytoplasmic inclusions within visceral epithelial cells.",
Glomerular crescent formation,33316,"Glomerular crescent refers hyperplastic lesions involving 10% or more of the circumference of Bowman's capsule. Crescents can be composed of a variable mixture of epithelial/leukocyte hypercellularity, fibrous matrix, and fibrin.",
Cellular crescent,33317,"A type of glomerular crescent characterized by extracapillary hypercellularity of greater than two cell layers and involving more than 10% of the capsular circumference, composed of greater than 75% cells with or without fibrin, and less than 25% fibrous matrix.",
Fibrocellular crescent,33318,"A type of glomerular crescent characterized by extracapillary hypercellularity of more than 2 cell layers and involving over 10% of the capsular circumference, composed of 25% to 75% cells with or without fibrin, and the remainder fibrous matrix.",
Fibrous crescent,33319,"A type of glomerular crescent characterized by extracapillary fibrosis composed of greater than 75% matrix and of less than 25% cells with or without fibrin, usually associated with disruption of Bowman's capsule and involving over 10% of the capsular circumference.",
Mesangial cell loss,33320,Loss of mesangial cells segmentally or globally.,
Glomerular obsolescence,33321,Globally sclerotic glomeruli are that are small and without hyalinosis and may appear with collapse of the tuft with collagenization of the urinary space. Bowman's capsule is completely or partially absent and there is no periglomerular fibrosis and glomerular size is decreased by more than 50% compared to all other glomeruli in the same biopsy. Obsolescent glomeruli may appear to be receding into the interstitium.,
Glomerular capillary wall duplication without cellular interposition,33322,"Double contouring of the original glomerular basement membrane (GBM)/additional layer(s) of overlying basement membrane matrix, with or without endocapillary hypercellularity and no evidence of interposed migrated cells (mesangial, endothelial, monocytes) between the layers of original GBM and de novo GBM.",
Glomerular capillary wall duplication with cellular interposition,33323,"Double contouring of the original glomerular basement membrane (GBM)/additional layer(s) of overlying basement membrane matrix with interposed migrated cells (mesangial, endothelial, monocytes) between the layers of original GBM and de novo GBM.",
Elevated circulating homovanillic acid concentration,33324,Increased concentration of homovanillic acid in the blood circulation.,
Elevated circulating sebacic acid concentration,33325,Increased concentration of sebacic acid in the blood circulation.,
Elevated circulating hydroxyphenlyllactic acid concentration,33326,An increased concentration of 4-hydroxyphenlyllactic acid in the blood circulation.,
Nail psoriasis,33327,"Psoriatic nail abnormality characterized by the presence of neutrophils in the nail bed epithelium, hyperkeratosis with parakeratosis, presence of exudates on the corneal epithelium, focal hypogranulosis and psoriasiform hyperplasia of the nail bed.",
Type II pneumocyte hyperplasia,33328,Increase in the number of type II pneumocytes.,
Abnormal postural reflex,33329,Anomaly of the physiological response to maintain the body's posture when movement and position is altered.,Abnormal postural reaction
Impaired neck-righting reflex,33330,"Abnormal neck-righting response, which is said to be a physiological response when a child is placed flat on his or her back and the head is turned 90 degrees to the right or the left. With a normal neck-righting response, there follows a reflected torsion of the vertebral column in the same direction as the induced rotation of the neck. That is, the whole body follows the direction in which the head was turned. The response is present from birth to the age of five years.",
Acute phase response,33331,"Presence of one or more manifestations of the acute phase response. Acute phase proteins (APP) are blood proteins primarily synthesized by hepatocytes as part of the acute phase response (APR). The APR is part of the early-defense or innate immune system, which is triggered by different stimuli including trauma, infection, stress, neoplasia, and inflammation. The APR results in a complex systemic reaction with the goal of reestablishing homeostasis and promoting healing.",
Elevated circulating amyloid A,33332,An increased concentration of serum amyloid A in the blood circulation.,
Jaw contracture,33333,Limitation of motion of the jaw due to structural changes in a muscle such as the massseter responsible for jaw movement.,
Abnormal embryonic development,33334,"An anomaly in the development of the embryo, that is, of the early developmental stage of development that follows the fertilization of an egg by sperm.",
Abnormal preimplantation embryonic development,33335,An anomaly in the development of the embryo in a stage prior to implantation.,
Zygotic cleavage failure,33336,Failure of a fertilized oocyte to undergo the first round of cell division.,Failure of zygotic cell division
Abnormal gametogenesis,33337,"An anomaly in the process by a a haploid cell is formed from a diploid cells through meiosis. In males, diploid spermatogonia produce two haploid cells (secondary spermatocytes) in meiosis I and four haploid spermatids in meiosis II. In females, primordial germ cells under meiosis II before birth to form primary oocytes. Once puberty cell begins, these cells form secondary oocytes through meiosis II.",
Abnormal female meiosis,33338,Anomalous oocyte meiosis,
Increased circulating inosine concentration,33339,An increased concentration of inosine in the blood circulation.,
Increased circulating guanosine concentration,33340,Increased concentration of guanosine in the blood circulation.,
Elevated circulating sitosterol concentration,33341,An increased concentration of beta-sitosterol in the blood circulation.,Elevated circulating beta-sitosterol concentration
Anti-aquaporin 4 antibody positivity,33342,The presence of autoantibodies (immunoglobulins) in the serum that react against aquaporin-4.,Anti-AQP4 antibody positivity
Mucoid diarrhea,33343,"Passage of an increased number of stools containing mucus, a thick fluid substance secreted by mucous membranes.","Mucous diarrhea, Mucous diarrhoea"
Pleural cobblestoning,33344,A pleural cobblestone appearance characterized by irregular bumps surrounded by depressed lines in open lung biopsy. Caused by underlying scarring causing retraction of the interlobular septa where they insert on the pleura.,
Neuralgia,33345,Pain (An unpleasant sensory and emotional experience) along the course of a nerve.,
Psychic epileptic aura,33346,"Aura with affective, mnemonic or composite perceptual phenomena including illusory or composite hallucinatory events.",Psychic aura
Cognitive epileptic aura,33347,A purely subjective manifestation of an epileptic seizure pertaining to altered cognition.,
Epileptic aura,33348,An epileptic aura is a purely subjective clinical manifestation of an epileptic seizure. If an epileptic aura is not followed by loss of awareness or propagation to a bilateral tonic-clonic seizure then it is a type of focal aware non-motor seizure.,
Seizure cluster,33349,"A fourfold or greater increase of usual seizure frequency within a 3-day period, where the patient demonstrates full recovery between seizure events within the cluster. The seizure cluster should be recognisable by the primary clinician, carer or patient.","Acute repetitive seizures, Crescendo seizures, Cyclical seizures, Recurrent seizures, Seizure flurries, Serial seizures"
Elevated forced expiratory volume in one second,33350,"An increase in the amount of air a person can forcefully expel in one second, compared to some standard or previous measure of same subject.",Elevated FEV1
Candida esophagitis,33351,"Candida infections of the esophagus are considered opportunistic infections and are seen most commonly in immunosuppressed patients, the most common symptoms being dysphagia, odynophagia, and retrosternal pain.",Esophageal candidiasis
Pulmonary hypertensive crisis,33352,Pulmonary hypertensive crisis involves sudden and potentially lethal increases in PAP and PVR that cause acute rise in right atrial and right ventricular end-diastolic pressure accompanied by low cardiac output.,Pulmonary arterial hypertension crisis
Abnormal blood vessel morphology,33353,"Any structural anomaly of a blood vessel (artery, arteriole, capillary, venule, or vein).",
Abnormal urine metabolite level,33354,Any deviation from the normal amount of a metabolite in urine.,
Increased urine deoxypyridinoline level,33355,"An increased level of deoxypyridinoline in the urine. Deoxypyridinoline is a crosslink product of collagen molecules found in bone and excreted in urine during bone degradation, has been described as a marker of bone turnover.",Elevated urinary DPD
Elevated circulating o-phosphoserine concentration,33356,An abnormally increased level of o-phosphoserine in the blood circulation. o-phosphoserine is a derivative of serine.,
Limited head rotation,33357,Reduced range of motion turning the head side to side.,
Abnormal urine osmolality,33358,A deviation from the normal range of concentration of particles in urine.,
Hyperosthenuria,33359,"An abnormally high urinary specific gravity, i.e., increased concentration of solutes in the urine.",
Impaired ability to shift attention,33360,"A behavioral abnormality whereby a person is unable to move freely from one situation, activity or aspect of aa problem to another as circumstances demand. Key aspects of shifting include the ability to make transitions, problem solve flexibly, switch or alternate attention, and change focus from one mind-set or topic to another. Mild deficits in the ability to shift compromise the efficiency of problem solving, whereas more severe difficulties are reflected in perseverative behaviors. Sometimes this is described as being rigid or inflexible.",Impaired task shifting
Nasal ulcer,33361,An open sore of the nasal mucosa.,
Recurrent coughing spasms,33362,"Repeated occurrence of episodes of coughing, with each episode consisting of at least five minutes of continuous coughing.",
Hyaline membranes,33363,"Hyaline membranes are homogeneous eosinophilic material composed of cellular debris, plasma proteins, and surfactant\nplastered against alveolar ducts and alveolar walls. The hyaline membranes are deposited along the walls of the alveoli, where gas exchange typically occurs, thereby making gas exchange difficult.",
Lipoid pneumonia,33364,A specific form of lung inflammation that results from accumulation of lipids in the alveoli. Lipoid pneumonia can be either exogenous or endogenous in cause based on the source of the lipid.,
Endogenous lipoid pneumonia,33365,"A type of lipoid pneumonia in which the source of the lipids is the body itself. When an airway is obstructed, it is often the case that distal to the obstruction, lipid-laden macrophages and giant cells fill the lumen of the disconnected airspace.",
Exogenous lipoid pneumonia,33366,A type of lipoid pneumonia in which the source of the lipids is external to the body.,
Orthodeoxia,33367,Low level of blood oxygen induced by changing from a recumbent to an upright position.,
Platypnea,33368,A type of dyspnea that occurs when the affected person changes from a recumbent to an upright position.,
Cavitating leukodystrophy,33369,A type of leukodystrophy characterized by multiple small cavitations typically in the periventricular and deep cerebral white matter. The cavitations are visible as a central cavity with cerebrospinal fluid-like signal intensity.,
Bronchial telangiectasia,33370,Telangiectasias (small dilated blood vessels located near the surface of the skin or mucous membranes) located in the trachoebronchial system.,Endobronchial telangiectasia
Bronchocentric granulomatosis,33371,"Granulomatous inflammation that surrounds the bronchi and bronchioles, replacing bronchial walls and mucosa. In bronchocentric granulomatosis, the lumen of the airway contains necrotic debris, and palisaded histiocytes surround the lumen.",
Abnormal KCO,33372,Any deviation from the normal range of KCO. The KCO is a measurement of the rate constant for alveolar uptake of CO during breath-holding in the single breath measurement of DLCO at full inflation. The DLCO is derived as the product of the KCO and the single breath alveolar volume (VA) divided by PB-PH2O.,
Increased KCO,33373,Increased diffusion capacity of the lung for carbon monoxide (CO) rate constant (efficiency index).,
Decreased KCO,33374,Decreased diffusion capacity of the lung for carbon monoxide (CO) rate constant (efficiency index).,
Anthracosis,33375,"Anthracosis is the deposition of black carbon pigment. It is commonly seen in perihilar lymph nodes as well as within lung parenchyma. There can be prominent storiforming (i.e., spiral patterning) of histiocytes, to such an extent as to mimic a neoplastic lesion histologically. Anthracosis is a common finding in smokers and polluted city dwellers.",
Alveolar septal thickening,33376,"Increased width of the alveolar septum, which is the structure that separates neighboring alveoli. This finding can be appreciated on histology.",
Increased airway neuroendocrine cells,33377,"Presence of increased numbers of bombesin-immuno-positive neuroendocrine cells (NECs) within distal airways. There are no formal criteria for an increase (which is also dependend on the sensitivity of the staining method), findings of neuroendocrine cells in at least 70% of bronchioles by lung biopsy and at least 10% NECs in an individual airway are consistent with the diagnosis of Neuroendocrine cell hyperplasia of infancy in the appropriate clinical setting. Increases are also seen in other clicnial settings. Neuroendocrine neoplasms of the lung encompass NE tumors (NETs), which split into typical and atypical carcinoids, and NE carcinomas (NECs).",
Increased airway neuroepithelial bodies,33378,Presence of increased numbers of bombesin-immuno-positive neuroendocrine cell cluster (neuroepithelial bodies) in the alveolar ducts.,
Bilateral superior vena cava,33379,The presence of a left and a right superior vena cava.,Bilateral SVC
Nasal chondritis,33380,Inflammation of the cartilage of the nose.,Nose chondritis
Elevated circulating stearoylcarnitine concentration,33381,Abnormally increased concentration of O-stearoylcarnitine in the blood circulation.,
Elevated circulating palmitoylcarnitine concentration,33382,Abnormally increased concentration of palmitoylcarnitine in the blood circulation.,
Decreased compound muscle action potential amplitude,33383,"Reduced level of the compound muscle action potential (CMAP), which is recorded following electrical stimulation of a nerve from surface electrodes overlying a muscle supplied by that nerve.",Decreased CMAP amplitude
Elevated urinary collagen degradation products,33384,"Increased level in the urine of a metabolite that results from collagen degradation, e.g., a fragment of a collagen produced by a collagenase or serine protease.",
Elevated urine pyridinoline level,33385,An increased amount of pyridinoline in the urine.,Elevated urine hydroxylysyl-pyridinoline level
Abnormal circulating collagen degradation product concentration,33386,"Abnormal concentration in the blood circulation of a metabolite that results from collagen degradation, e.g., a fragment of a collagen produced by a collagenase or serine protease.",
Elevated circulating pyridinoline concentration,33387,An increased concentration of hydroxylysyl-pyridinoline (pyridinoline) in the blood circulation.,
Abnormal bronchial artery morphology,33388,Any structural abnormality of a bronchial artery.,
Bronchopulmonary anastomosis,33389,Abnormal arterial anastomosis (connection) between bronchial and pulmonary arteries.,
Bronchial artery dilatation,33390,"Increased caliber of a bronchial artery, which can be defined as a bronchial artery diameter that exceeds 2 mm.","Bronchial artery enlargement, Dilatation of a bronchial artery"
Bronchial artery hypertrophy,33391,Increase in the volume of bronchial artery wall due to the enlargement of its component cells.,
Perivascular pre-capillary pulmonary artery inflammation,33392,Inflammatory cell infiltration surrounding precapillary pulmonary arteries (arterioles; 20-70 micrometer).,"Perivascular inflammation of arterioles in the pulmonary circulation, Perivascular inflammation of pre-capillary pulmonary arteries"
Irregularly shaped sperm tail,33393,Irregular or changing caliber (diameter) along the tail of the sperm.,"Sperm flagella with irregular caliber, Sperm flagella with irregular calibre"
Anti-carbonic anhydrase II antibody positivity,33394,The presence of autoantibodies (immunoglobulins) in the serum that react against carbonic anhydrase II.,
Antilactoferrin antibody positivity,33395,The presence of autoantibodies (immunoglobulins) in the serum that react against lactoferrin.,
Glomerular extracapillary fibrin,33396,"Presence of ropey, eosinophilic material (brght red on Trichrome staining) consistent with extracapillary fibrin outside of capillary lumina.",
Bowman-space proteinaceous debris,33397,"The presence of eosinophilic Periodic Acid Schiff (PAS)-positive cell free, protein-derived material occupying Bowman's space.",
Pleural plaque,33398,"Deposits of hyalinized collagen fibres in the parietal pleura (preferentially pleura adjacent to ribs, particularly the sixth through ninth ribs).",
Persistent fever,33399,"Fever that persists longer than expected for an acute infectious disease. No precise threshold exists, and the clinical interpretation of fever is context-dependent, but as a rule of thumb, this term refers to fever that persists longer than 2-3 weeks.",
Acute abdomen,33400,"A sudden onset of abdominal pain with associated nausea or vomiting. The acute abdomen may be caused by an infection, inflammation, vascular occlusion, or obstruction.",Acute abdominal pain
Tissue ischemia,33401,"Ischemia is defined as a restriction of arterial blood supply to a tissue associated with insufficient oxygenation to support the metabolis requirements of the tissue. Depending on the involved tissues, clinical manifestations may include pain, pallor, lack of pulse, coldness, paresthesia, and paralysis. Additional associated manifestations include hemodynamic parameters (reduced blood pressure distal to the site of restricted arterial supply) and angiographic evidence of arterial occclusion.",
Digital ischemia,33402,"Restriction of arterial blood supply to a digit (finger or toe) associated with insufficient oxygenation to support the metabolic requirements of the digit. Clinical manifestations may include pain, pallor, lack of pulse, coldness, paresthesia, and paralysis.",
Testicular ischemia,33403,Restriction of arterial blood supply to a testis associated with insufficient oxygenation to support the metabolic requirements of the tissue. Clinical manifestations may include pain and swelling of the affected testis.,
Intestinal ischemia,33404,"Restriction of arterial blood supply to the intestine associated with insufficient oxygenation to support the metabolic requirements of the tissue. Acute intestinal ischemia can involve the small or large intestine, and usually presents with sudden severe non-specific abdominal pain.",
Abnormal circulating organic amino compound concentration,33405,"Any deviation from the normal concentration of an organic amino compound, defined as a compound formally derived from ammonia by replacing one, two or three hydrogen atoms by organyl groups.",
Elevated circulating o-phosphoethanolamine concentration,33406,An increased concentration of o-phosphoethanolamine in the blood circulation.,
Elevated urine acetoacetic acid level,33407,Elevated amount of acetoacetic acid in the urine.,
Elevated circulating acetoacetic acid concentration,33408,An increased level of acetoacetic acid in the blood circulation. Acetoacetic acid is one of the predominant ketone bodies.,
Elevated urinary 2-hydroxybutyric acid,33409,An increased amount of 2-hydroxybutyric acid in the urine.,
Elevated circulating cartilage oligomeric matrix protein concentration,33410,An increased blood concentration of cartilage oligomeric matrix protein (COMP).,
Lower extremity akinesia,33411,Inability to initiate changes in activity or movement and to perform ordinary volitional movements rapidly and easily in the lower extremities.,
Upper extremity akinesia,33412,Inability to initiate changes in activity or movement and to perform ordinary volitional movements rapidly and easily in the upper extremities.,Akinesia of the upper extremities
Upper extremity hypokinesia,33413,"Abnormally diminished movement of the upper extremities. In contrast to paralysis, hypokinesia is not characterized by a lack of motor strength, but rather by a poverty of movement. The typical habitual movements (e.g., folding the arms, crossing the legs) are reduced in frequency.",Hypokinesia of the upper extremities
Lower extremity hypokinesia,33414,"Abnormally diminished movement of the lower extremities. In contrast to paralysis, hypokinesia is not characterized by a lack of motor strength, but rather by a poverty of movement. The typical habitual movements (e.g., folding the arms, crossing the legs) are reduced in frequency.",Hypokinesia of the lower extremities
Cardiac tamponade,33415,The accumulation of pericardial fluid with subsequent compression of all cardiac chambers which prevents cardiac filling.,
Hip adductor weakness,33416,Reduced ability to bring the leg toward the midline of the body.,
Elevated circulating hydroxybutyric acid concentration,33417,"An increased concentration in the blood circulation of a hydroxybutyric acid, that is, of a compound comprising a butyric acid core carrying at least one hydroxy substituent.",
Elevated circulating 2-hydroxybutyric acid concentration,33418,Elevation of the 2-hydroxybutyric acid concentration in the blood above the normal range.,
Elevated circulating 3-hydroxybutyric acid concentration,33419,Elevation of the 3-hydroxybutyric acid concentration in the blood above the normal range.,
Pulmonary arterial plexiform lesion,33420,"Focal proliferation of pulmonary artery endothelial cells, leading to the formation of complex capillary-like channels.",
Pulmonary artery intimal thickening,33421,"Increased thickness of the intimal layer of the pulmonary artery. Throughout the pulmonary arterial tree, the thin intima consists of a non-fenestrated monolayer of endothelial cells lining the vessel lumen, as well as a sub-endothelial interstitium that extends to the internal elastic lamina. Intimal thickness in human lung ranges from 1-16% of total wall thickness. Pulmonary artery intimal thickening can be defined as a relative intima thickness to the thickness of the vessel wall of over 10%.",
Pulmonary artery adventitial fibrosis,33422,"Increased amount of collagen, proteoglycans, and other extracellular matrix proteins resulting in scarring and thickening in the adventia of the pulmonary arterial tree.",
Pulmonary arterial hypertension with positive acute response to NO challenge,33423,A form of pulmonary arterial hypertension in which there is a reduction of mean pulmonary artery pressure (mPAP) at leasy 10 mmHg to reach an absolute value of mPAP not more than 40 mmHg with an increased or unchanged cardiac output (CO) in response to inhaled nitric oxide at 10-20 ppm.,
Pulmonary arterial hypertension with lack of acute response to NO challenge,33424,A form of pulmonary arterial hypertension with lack of adequate hemodynamic response to NO challenge (adequate response is defined as a reduction of mean pulmonary artery pressure (mPAP) of at least 10 mmHg to reach an absolute value of mPAP 40 mmHg or less with an increased or unchanged cardiac output (CO) in response to inhaled nitric oxide at 10-20 ppm).,
Periungual erythema,33425,Erythema (redness of the skin caused by hyperemia in superficial capillaries) in the region surrounding a fingernail or toe nail.,
Pulmonary air embolism,33426,"Venous air embolism is a consequence of air being introduced into the venous circulation, and subsequently to the right heart, and pulmonary circulation. When small amounts of air reach pulmonary circulation they can be removed by gas diffusion across the arteriolar wall into the alveoli, amounts of gas exceeding 50 ml can cause pulmonary outflow tract obstruction with or without concomitant arterial embolisation.",Venous air embolism
Pulmonary capillary angioectasia,33427,Focal accumulation of dilated pulmonary capillaries.,
Systemic autoinflammation,33428,"Dysregulation of the innate immune system characterized by systemic pathobiology, i.e., with symptoms that can affect the entire body.",
Neuroinflammation,33429,Activation of the brain's innate immune system in response to an inflammatory challenge and is characterized by a host of cellular and molecular changes within the brain.,
Non-infectious meningitis,33430,Inflammation of the layers of tissue that cover the brain and spinal cord (meninges) and of the fluid-filled space between the meninges (subarachnoid space) when it is caused by disorders that are not infections or by drugs or vaccines.,
Cytomegalovirus colitis,33431,A form of cytomegalovirus infection characterized by infection and inflammation of the colon.,CMV colitis
Opportunistic viral infection,33432,,
Ileocecal ulcer,33433,An erosion of the mucous membrane in the region connecting the ileum and cecum.,Ileo-cecal ulcer
Nasal septum perforation,33434,A full-thickness defect of the nasal septum.,"Nasal-septum perforation, Perforation of the nasal septum"
Abnormal circulating keto acid concentration,33435,A deviation from the normal concentration of a keto acid in the blood circulation. Keto acids or ketoacids are organic compounds that contain a carboxylic acid group and a ketone group.,
Elevated circulating 3-methyl-2-oxovaleric acid concentration,33436,An abnormally increased concentration of 3-methyl-2-oxovaleric acid in the blood circulation.,
Elevated circulating 4-methyl-2-oxopentanoic acid concentration,33437,Abnormal increase of the concentration of 4-methyl-2-oxopentanoic acid in the blood circulation.,Increased circulating alpha-ketoisocaproic acid concentration
Elevated circulating myoglobin concentration,33438,An increased blood concentration of myoglobin.,
Elevated circulating decenoylcarnitine concentration,33439,Increased concentration of decenoylcarnitine in the blood circulation.,"Elevated circulating O-decenoylcarnitine concentration, Elevated plasma decenoylcarnitine, C10:1"
Elevated circulating octenoylcarnitine concentration,33440,Increased concentration of octenoylcarnitine in the blood circulation.,"Elevated circulating O-octenoylcarnitine concentration, Elevated plasma octenoylcarnitine, C8:1"
Elevated circulating hexanoylcarnitine concentration,33441,Increased concentration of hexanoylcarnitine in the blood circulation.,"Elevated circulating O-hexanoylcarnitine concentration, Elevated plasma hexanoylcarnitine, C6:0"
Elevated circulating glutarylcarnitine concentration,33442,Increased concentration of glutarylcarnitine in the blood circulation.,"Elevated circulating O-glutarylcarnitine concentration, Elevated plasma glutarylcarnitine, C5-DC"
Elevated circulating propionylcarnitine concentration,33443,Increased concentration of propionylcarnitine in the blood circulation.,
Elevated circulating dodecanoylcarnitine concentration,33444,Increased concentration of dodecanoylcarnitine in the blood circulation.,"Elevated circulating O-dodecanoylcarnitine concentration, Elevated plasma dodecanoylcarnitine, C12:0"
Reduced circulating acylcarnitine concentration,33445,"An abnormally reduced concentration in the blood circulation of acylcarnitine, which is produced by reversible esterification of the 3-hydroxyl group of carnitine.",
Elevated circulating butyrylcarnitine concentration,33446,Increased concentration of O-butyrylcarnitine in the blood circulation.,Elevated circulating O-butyrylcarnitine concentration
Elevated circulating isovalerylcarnitine concentration,33447,Increased concentration of O-isovalerylcarnitine in the blood circulation.,Elevated circulating O-isovalerylcarnitine concentration
Increased mid-arm muscle circumference,33448,Elevation of the midupper arm circumference midway between the acromion and olecranon processes of the ulna with the use of a steel or fiberglass tape. This measure is a proxy for the muscle mass of the upper arm and can be used as a part of the assessment of nutritional status in children.,
Decreased mid-arm muscle circumference,33449,Reduction of the midupper arm circumference midway between the acromion and olecranon processes of the ulna with the use of a steel or fiberglass tape. This measure is a proxy for the muscle mass of the upper arm and can be used as a part of the assessment of nutritional status in children.,
Abnormal circulating prealbumin concentration,33450,Any deviation from normal concentration of albumin in the blood circulation.,
Increased circulating prealbumin concentration,33451,An elevation above the normal concentration of prealbumin in the blood circulation.,
Decreased circulating prealbumin concentration,33452,A reduction from the normal concentration of prealbumin in the blood circulation.,
Limited neck extension,33453,Reduced abilty to move the head back towards the ceiling so that one is looking upwards.,
Tube feeding,33454,Feeding problem necessitating food and nutrient delivery via a tube.,
Elevated urine keto acid level,33456,Increased amount of a keta acid in the urine.,
Elevated urine 3-methyl-2-oxovaleric acid level,33457,Increased amount of 3-methyl-2-oxovaleric acid in the urine.,
Elevated urine 4-methyl-2-oxopentanoic acid level,33458,Increased amount of 4-methyl-2-oxopentanoic acid in the urine.,Increased urine alpha-ketoisocaproic acid level
Decreased circulating apolipoprotein concentration,33459,Reduced concentration in the blood circulation of a lipid-transport protein (apoliprotein).,Decreased apolipoprotein level
Increased circulating apolipoprotein circulation,33460,Elevated concentration in the blood circulation of a lipid-transport protein (apoliprotein).,
Elevated circulating 3-hydroxylinoleylcarnitine concentration,33461,Increased concentration of 3-hydroxylinoleylcarnitine in the blood circulation.,"Elevated plasma 3-OH-Linoleylcarnitine, C18:1-OH"
Elevated circulating oleylcarnitine concentration,33462,Increased concentration of oleylcarnitine in the blood circulation.,"Elevated plasma oleylcarnitine, C18:1"
Elevated circulating 3-hydroxypalmitoleylcarnitine concentration,33464,Increased concentration of 3-hydroxypalmitoleylcarnitine in the blood circulation.,"Elevated circulating 3-OH-palmitoleylcarnitine concentration, Elevated plasma 3-OH-Palmitoleylcarnitine, C16:1-OH"
Elevated circulating tetradecanoylcarnitine concentration,33465,Elevated circulating tetradecanoyl concentration.,"Elevated circulating C14 carnitine concentration, Elevated circulating myristoylcarnitine concentration"
Weak grip,33466,Reduced grip strength. Gripping is the motion by which the hand tightly grasps an object or other hand.,
Low 10-minute APGAR score,33467,A normal APGAR score can be coded as 'not Low 10-minute APGAR score'.,
10-minute APGAR score of 0,33468,,
10-minute APGAR score of 1,33469,,
10-minute APGAR score of 2,33470,,
10-minute APGAR score of 3,33471,,
10-minute APGAR score of 4,33472,,
10-minute APGAR score of 5,33473,,
10-minute APGAR score of 6,33474,,
Limited shoulder abduction,33475,Decreased ability to move the arm away from the midline of the body.,
Extractable nuclear antigen positivity,33476,The presence of autoantibodies in the serum that react against extractable nuclear components that are referred to as extractable because they can be extracted from cell nuclei with saline solution.,
Abnormal circulating lipoprotein lipase concentration,33477,A deviation from the normal concentration of lipoprotein lipase in the blood circulation.,
Increased circulating lipoprotein lipase concentration,33478,Increased concentration of lipoprotein lipase in the blood circulation.,Elevated lipoprotein lipase level
Abnormal circulating bilirubin concentration,33479,,
Hypobilirubinemia,33480,Decreased circulation of bilirubin in the blood circulation.,
Limited lateral neck flexion,33481,Reduced range of motion resulting in decreased ability to move the ear toward the top of the shoulder.,
Limited shoulder flexion,33482,A reduced ability to flex the shoulder. Shoulder flexion is the motion that moves the arms from a resting position by the side of the body to a position above the head.,
Podocyte infolding,33483,Folding of cytoplasmic processes of podocytes into the glomerular basement membrane (GBM) with thickening of the lamina densa and microspheres and/or microtubular structures within the GBM.,
Elevated circulating linoleylcarnitine concentration,33484,Increased concentration of linoleylcarnitine in the blood circulation.,"Elevated plasma linoleylcarnitine, C18:2"
Glomerular basement membrane disruption,33485,A point of rupture in the glomerular basement membrane (GBM) where the discontinuous portions of GBM are still identifiable with a basement membrane stain such as Periodic acid Schiff (PAS) or silver.,"Disruption of the glomerular basement membrane, Glomerular basement membrane rupture"
Abnormal glomerular basement membrane texture,33486,Anomalous appearance or structure of the surface of the glomerular basement membrane.,
Glomerular basement membranes powdery deposit,33487,Punctate electron-dense material typically in a band-like distribution along the lamina rara interna and within tubular basement membranes within the subendothelial aspect of the glomerular basement membrane.,Glomerular basement membranes with powdery deposit
Glomerular endocapillary leukocyte hypercellularity,33488,"Increased number of leukocytes internal to the glomerular basement membrane (GBM), but not limited to within glomerular capillaries.",Glomerular endocapillary hypercellularity consisting of leukocytes
Glomerular endocapillary neutrophil hypercellularity,33489,"Increased number of neutrophils internal to the glomerular basement membrane (GBM), but not limited to within glomerular capillaries.",
Glomerular endocapillary foam-cell hypercellularity,33490,"Presence of lipid-filled cells, often a macrophage, with a vacuolated appearance in the glomerulus often occupying the endocapillary space.",
Global mesangial sclerosis,33491,A generalized global (over 80%) increase of mesangial matrix that is present throughout the mesangial stalk (with or without associated mesangial hypercellularity).,
Podocyte cytoskeletal condensation,33492,"Reorganization of podocyte cytoskeletal proteins at the glomerular basement membrane (GBM) aspect of the cell, with associated cytoplasmic electron density at the GBM aspect of the podocyte.",
