,Definition,ClassificationLevel
7020,"3-phosphoglycerate dehydrogenase deficiency (3-pgdh deficiency) is an autosomal recessive form of serine deficiency syndrome (see this term) characterized clinically in the few reported cases by congenital microcephaly, psychomotor retardation and intractable seizures in the infantile form and by absence seizures, moderate developmental delay and behavioral disorders in the juvenile form",Subtype of disorder
7021,"3-phosphoserine phosphatase deficiency is an extremely rare form of serine deficiency syndrome (see this term) characterized clinically by congenital microcephaly and severe psychomotor retardation in the single reported case to date, which was associated with williams syndrome (see this term).",Subtype of disorder
7022,"a rare, non-rhizomelic, chondrodysplasia punctata syndrome characterized, radiologically, by stippled calcifications and disproportionate, short metacarpals and tibiae (with characteristic overshoot of the proximal fibula), clinically manifesting with severe short stature, bilateral shortening of upper and lower limbs, flat midface and nose, in the absence of cataracts and cutaneous anomalies. neonatal tachypnea, hydrocephalus and mild developmental delay have been seldomly associated. additional radiologic features include bowed long bones, platyspondyly and/or vertebral clefts.",Disorder
7028,"idiopathic juvenile osteoporosis (ijo) is a primary condition of bone demineralization that presents with pain in the back and extremities, walking difficulties, multiple fractures, and radiological evidence of osteoporosis.",Disorder
7041,fetal gaucher disease is the perinatal lethal form of gaucher disease (gd; see this term).,Subtype of disorder
7098,"x-linked reticulate pigmentary disorder is an extremely rare skin disease described in only four families to date and characterized in males by diffuse reticulate brown hyperpigmentated skin lesions developing in early childhood and a variety of systemic manifestations (recurrent pneumonia, corneal opacification, gastrointestinal inflammation, urethral stricture, failure to thrive, hypohidrosis, digital clubbing, and unruly hair and flared eyebrows), while in females, there is only cutaneous involvement with the development in early childhood of localized brown hyperpigmented skin lesions following the lines of blaschko. this disease was first considered as a cutaneous amyloidosis, but amyloid deposits are an inconstant feature.",Disorder
7102,familial amyloid polyneuropathy (fap) or transthyretin (ttr) amyloid polyneuropathy is a progressive sensorimotor and autonomic neuropathy of adulthood onset. weight loss and cardiac involvement are frequent; ocular or renal complications may also occur.,Disorder
7103,transthyretin (ttr)-related familial amyloidotic cardiomyopathy is a hereditary ttr-related systemic amyloidosis (attr) with predominant cardiac involvement resulting from myocardial infiltration of abnormal amyloid protein.,Disorder
7111,"an intermediate form of lichen myxedematosus (lm) (a form of mucin dermal deposit) which does not meet the criteria for either scleromyxedema or the localized form. three clinical subtypes have been described and include scleromyxedema without monoclonal gammopathy; localized forms with monoclonal gammopathy and/or systemic symptoms; localized forms with mixed features of the 5 subtypes of localized lm (discrete form, acral persistent papular mucinosis, self-healing papular mucinosis, papular mucinosis of infancy, and a pure nodular form). the course of atypical lm is unpredictable because only a few cases have been reported.",Disorder
7130,"plasmacytoma is a localized mass of neoplastic monoclonal plasma cells that represents approximately 5% of all plasma cell neoplasms. there are two separate entities: primary plasmacytoma of the bone and extramedullary plasmacytoma of the soft tissues. of the extramedullary plasmacytomas, 80% occur in the head and neck, usually in the upper respiratory tract. the median age at diagnosis is 50 years and the male to female ratio is 3:1. long-term survival is possible following local radiotherapy, particularly for soft tissue presentations.",Disorder
7134,myeloid sarcoma is a rare solid tumor of the myelogenous cells occurring in an extramedullary site.,Disorder
7137,t-cell large granular lymphocyte leukemia (t-cell lgl leukemia) is a lymphoproliferative malignancy that arises from the mature t-cell (cd3+) lineage.,Disorder
7142,"lymphomatoid granulomatosis (lyg) is a very rare epstein-barr virus (ebv)-driven lymphoproliferative disease most commonly occurring in adults (in the fourth to sixth decade of life) and commonly affecting the lungs (with presentations varying from small bilateral pulmonary nodules to large necrotic and sometimes cavitating lesions), skin, central nervous system, and kidneys, but only very rarely affecting the lymph nodes and spleen. the symptoms associated with lyg depend on the site of disease involvement but mainly include cough, dyspnea or chest pain (in those with pulmonary involvement) and constitutional symptoms such as weight loss and fever.",Disorder
7146,nodular lymphocyte predominant hodgkin lymphoma (nlphl) is a rare subtype of hodgkin lymphoma (hl; see this term) characterized histologically by malignant lymphocyte predominant (lp) cells and the absence of typical hodgkin and reed-sternberg (hrs) cells.,Disorder
7147,subcutaneous panniculitis-like t-cell lymphoma (sptcl) is a rare cytotoxic cutaneous lymphoma that has been recognized as a distinct subset of peripheral t-cell lymphomas originating and presenting primarily in the subcutaneous fat tissue.,Disorder
7152,"extranodal nasal nk/t cell lymphoma (nktcl) is a rare, malignant neoplasm mainly affecting men in the fifth decade of life, that usually arises in the nose, paranasal sinuses, orbits or upper airway, and that can present with a nasal mass, nasal bleeding, nasal obstruction, palate perforation (i.e. midline perforation of the hard palate), and mid-facial and/or upper airway destructive lesions. in advanced disease stages, which are associated with a poor prognosis, nktcl may disseminate to other organs. a few cases of nktcl presenting primarily in the lymph nodes have also been described.",Disorder
7157,"leukotriene c4 synthase deficiency is an extremely rare fatal neurometabolic developmental disorder characterized clinically by muscular hypotonia, psychomotor retardation, failure to thrive, and microcephaly.",Disorder
7168,scrub typhus is a rare dust mite-borne infectious disease caused by the <i>orientia tsutsugamushi</i> bacterium and characterized clinically by an eruptive fever which is potentially serious.,Disorder
7171,"pseudotyphus of california is a rare, flea-borne rickettsial disease caused by a <i>rickettsia felis </i> infection. patients can be asymptomatic or can present with unspecific symptoms (such as fever, headache, generalized maculopapular rash, myalgia, arthralgia and, ocasionally, eschar, lymphadenopathy, nausea, vomiting, loss of appetite and abdominal pain). rarely, serious manifestations may occur and include neurological dysfunction (photophobia, hearing loss, and signs of meningitis) and pulmonary compromise.",Disorder
7179,"an aggressive soft tissue cancer that typically arises in serous lined surfaces of the abdominal or pelvic peritoneum, and spreads to the omentum, lymph nodes and hematogenously disseminates especially to the liver. extraserous primary location has been reported in exceptional cases.",Disorder
7180,"a benign non-epithelial bone cavity that is asymptomatic and that is found most commonly in the second decade of life by chance. the long bones are most often affected, but cases involving the jaw bone have been reported.",Disorder
7183,"an acute arboviral infection caused by a virus of the <i>flaviviridae</i> family transmitted by an infected mosquito, that is asymptomatic in the majority of cases but that can present in rare occasions with mild flulike symptoms such as low-grade fever, arthralgia, myalgia, and/or rash, or with neurologic manifestations including meningitis, encephalitis with mental confusion or disorientation, tremors and acute flaccid paralysis/poliomyelitis.",Disorder
7189,regional odontodysplasia (rod) is a localized developmental anomaly of the dental tissues.,Disorder
7190,regional odontodysplasia (rod) is a localized developmental anomaly of the dental tissues.,Disorder
7199,"a disorder defining by the association of perineal hemangioma, external genitalia malformations, lipomyelomeningocele, vesicorenal abnormalities, imperforate anus, and skin tag. eleven cases have been reported.",Disorder
7205,a demyelinating disorder of the central nervous system.,Disorder
7215,"a rare gastroenterologic disease manifesting as intractable diarrhea in the first month of life with failure to thrive and associated with facial dysmorphism, hair abnormalities, and, in some cases, immune disorders and intrauterine growth restriction.",Disorder
7222,a congenital hypochromic microcytic anemia with progressive liver iron overload paradoxically associated with normal to moderately elevated serum ferritin levels has been described in three unrelated patients.,Disorder
7226,"facial onset sensory and motor neuronopathy is characterised initially by paraesthesia and numbness in the region of the trigeminal nerve distribution, which later progresses to involve the scalp, neck, upper trunk and upper limbs. onset of motor manifestations occurs later with cramps, fasciculations, dysphagia, dysarthria, muscle weakness and atrophy. this syndrome has been described in four males and appears to be a slowly progressive neurodegenerative disease.",Disorder
7227,"a chronic and rare endocrine disorder due to autoimmune destruction of the adrenal cortex and resulting in a glucocorticoid and mineralocorticoid deficiency. properly speaking, it designates autoimmune adrenalitis, but it is a term commonly used to describe any form of chronic primary adrenal insufficiency (cpai).",Disorder
7228,"a chronic and rare endocrine disorder due to autoimmune destruction of the adrenal cortex and resulting in a glucocorticoid and mineralocorticoid deficiency. properly speaking, it designates autoimmune adrenalitis, but it is a term commonly used to describe any form of chronic primary adrenal insufficiency (cpai).",Disorder
7229,"bothnia retinal dystrophy is a rare form of retinal dystrophy, seen mostly in northern sweden, presenting in early childhood with night blindness and progressive maculopathy with a decrease in visual acuity, eventually leading to blindness by adulthood. retinal degeneration, without obvious bone spicule formation, accompanied by affected visual fields and the typical presence of retinitis punctata albescens (see this term) in the posterior pole are also noted.",Disorder
7240,"craniometadiaphyseal dysplasia, wormian bone type is an extremely rare craniotubular bone dysplasia syndrome described in fewer than 10 patients to date. clinical manifestations include macrocephaly, frontal bossing, malar hypoplasia, prominent mandible and dental hypoplasia. other skeletal anomalies include abnormal bone modeling in tubular bones, multiple wormian bones and deformities of chest, pelvis and elbows. an increased risk of fractures is noted.",Disorder
7241,"diaphyseal medullary stenosis with malignant fibrous histiocytoma is a very rare autosomal dominant bone dysplasia/cancer syndrome characterized clinically by bone infarctions, cortical growth abnormalities, pathological fractures, and development of bone sarcoma (malignant fibrous histiocytoma).",Disorder
7279,hodgkin lymphoma (hl) is a heterogeneous group of malignant lymphoid neoplasms of b-cell origin characterized histologically by the presence of hodgkin and reed-sternberg (hrs) cells in the vast majority of cases.,Group of disorders
7280,hodgkin lymphoma (hl) is a heterogeneous group of malignant lymphoid neoplasms of b-cell origin characterized histologically by the presence of hodgkin and reed-sternberg (hrs) cells in the vast majority of cases.,Group of disorders
7281,hodgkin lymphoma (hl) is a heterogeneous group of malignant lymphoid neoplasms of b-cell origin characterized histologically by the presence of hodgkin and reed-sternberg (hrs) cells in the vast majority of cases.,Group of disorders
7298,"grfoma is a type of pancreatic endocrine tumor (see this term) that hypersecretes growth hormone-releasing factor (grf or ghrh) and that clinically resembles a pituitary adenoma (see this term) as patients present with acromegaly. in addition to the pancreas, this tumor can also occur in the lungs or small intestine, are usually large > 6cm and approximately 1/3 have metastasized at the time of diagnosis. it often co-occurs with zollinger-ellison syndrome or multiple endocrine neoplasia type 1 (men 1; see these terms).",Disorder
7301,"a form of functioning pancreatic neuroendocrine tumor characterized most commonly by a solitary, small pancreatic lesion that causes hyperinsulinemic hypoglycemia.",Disorder
7302,"ppoma is a type of pancreatic endocrine tumor (see this term) that hypersecretes pancreatic polypeptide (pp) but that does not cause a hypersecretion syndrome (is non-functioning) and instead presents with only non-specific symptoms such as weight loss, abdominal pain, jaundice, diarrhea and/or an abdominal mass, hence leading to a late diagnosis. ppoma can be associated with multiple endocrine neoplasia 1 (men-1; see this term).",Disorder
7305,"vipoma is an extremely rare type of pancreatic neuroendocrine tumor (see this term) that secretes vasoactive intestinal polypeptide (vip) leading to the manifestations of watery diarrhea, hypokalemia and achlorhydia or hypochhlorhydia (known as wdha syndrome).",Disorder
7306,"glucagonoma is a rare, functioning type of pancreatic neuroendocrine tumor (pnet; see this term) that hypersecretes glucagon, leading to a syndrome comprised of necrolytic migratory erythema, diabetes mellitus, anemia, weight loss, mucosal abnormalities, thromboembolism, gastrointestinal and neuropsychiatric symptoms.",Disorder
7307,"a rare, malignant, primary thymic neoplasm originating from neuroendocrine cells, presenting as a mass within the anterior mediastinum. patients typically present with nonspecific symptoms, such as chest pain, cough, shortness of breath, or in some cases, superior vena cava syndrome, although patients could be asymptomatic during the early stages or present with multiple endocrine neoplasia type i. ectopic production of acth and serotonin can lead to cushing syndrome and carcinoid syndrome, respectively.",Disorder
7308,an extremely rare inherited tumor syndrome within the familial nonmedullary thyroid cancer group.,Disorder
7312,"kienbock disease is a rare bone disorder of unknown etiology characterized clinically by osteonecrosis of the carpal lunate, eventually leading to collapse of the lunate bone impacting wrist function.",Disorder
7333,"a rare form of multicystic dysplastic kidney (mcdk), a congenital anomaly of the kidney and urinary tract (cakut), in which one kidney is large, distended by multiple cysts, and non-functional.",Subtype of disorder
7334,"a rare lethal form of multicystic dysplastic kidney (mcdk), a congenital anomaly of the kidney and urinary tract (cakut), in which both kidneys are large, distended by non-communicating multiple cysts and non-functional.",Subtype of disorder
7335,"a rare lethal form of multicystic dysplastic kidney (mcdk), a congenital anomaly of the kidney and urinary tract (cakut), in which both kidneys are large, distended by non-communicating multiple cysts and non-functional.",Disorder
7346,maternal uniparental disomy of chromosome 9 is a uniparental disomy of maternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only mother is a carrier.,Disorder
7349,maternal uniparental disomy of chromosome 4 is an uniparental disomy of maternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only mother is a carrier.,Disorder
7350,maternal uniparental disomy of chromosome 2 is an uniparental disomy of maternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only mother is a carrier.,Disorder
7355,paternal uniparental disomy of chromosome 5 is an uniparental disomy of paternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier.,Disorder
7356,maternal uniparental disomy of chromosome 22 is a uniparental disomy of maternal origin that does not seem to have an adverse impact on the phenotype of an individual. there is a possibility of homozygosity for a recessive disease mutation for which the mother is a carrier and specific phenotype depends on the inherited disorder.,Disorder
7357,maternal uniparental disomy of chromosome 21 is a uniparental disomy of maternal origin that does not seem to have an adverse impact on the phenotype of an individual. there is a possibility of homozygosity for a recessive disease mutation for which the mother is a carrier and specific phenotype depends on the inherited disorder.,Disorder
7358,"maternal uniparental disomy of chromosome 20 (upd 20) is a very rare chromosomal anomaly in which both copies of chromosome 20 are inherited from the mother. the main feature described is prenatal and postnatal growth retardation. microcephaly, minor dysmorphic features and psychomotor developmental delay have been occasionally reported. maternal upd20 is most often ascertained by a mosaic trisomy 20 pregnancy.",Disorder
7359,"maternal uniparental disomy of chromosome 16 is a uniparental disomy of maternal origin which might be associated with intrauterine growth retardation and an elevated risk of congenital malformations. healthy carriers have also been reported. in addition, cases of homozygosity for a recessive disease mutation for which the mother was a carrier have been described, and specific phenotype depends on the inherited disorder.",Disorder
7361,"paternal uniparental disomy of chromosome 20 is a very rare chromosomal anomaly in which both copies of chromosome 20 are inherited from the father. the main features described are high birth weight and/or early-onset obesity, relative macrocephaly, and tall stature. most patients were ascertained during sporadic pseudohypoparathyroidism type 1b (see this term) testing and have upd involving variable segments of the long arm of chromosome 20.",Disorder
7362,paternal uniparental disomy of chromosome 21 is an uniparental disomy of paternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier.,Disorder
7363,"paternal uniparental disomy of chromosome 7 is an uniparental disomy of paternal origin that most likely do not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier (e.g., cystic fibrosis, congenital chloride diarrhea, sensorineural hearing loss).",Disorder
7364,"paternal uniparental disomy of chromosome 7 is an uniparental disomy of paternal origin that most likely do not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier (e.g., cystic fibrosis, congenital chloride diarrhea, sensorineural hearing loss).",Subtype of disorder
7365,"paternal uniparental disomy of chromosome 7 is an uniparental disomy of paternal origin that most likely do not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier (e.g., cystic fibrosis, congenital chloride diarrhea, sensorineural hearing loss).",Group of disorders
7366,cushing disease (cd) is the most common cause of endogenous cushing syndrome (cs; see this term) and is due to pituitary chronic over-secretion of acth by a pituitary corticotroph adenoma.,Disorder
7379,reducing body myopathy (rbm) is a rare muscle disorder marked by progressive muscle weakness and the presence of characteristic inclusion bodies in affected muscle fibres.,Disorder
7386,maternal uniparental disomy of chromosome 13 is an uniparental disomy of maternal origin that most likely do not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only mother is a carrier.,Disorder
7387,maternal uniparental disomy of chromosome 13 is an uniparental disomy of maternal origin that most likely do not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only mother is a carrier.,Disorder
7388,maternal uniparental disomy of chromosome 13 is an uniparental disomy of maternal origin that most likely do not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only mother is a carrier.,Subtype of disorder
7401,"congenital hypothyroidism due to transplacental passage of maternal thyroid-stimulating hormone (tsh)-binding inhibitory antibodies is a type of transient congenital hypothyroidism (see this term), a thyroid hormone deficiency that is not permanent.",Disorder
7402,"familial thyroid dyshormonogenesis is a type of primary congenital hypothyroidism (see this term), a permanent thyroid hormone deficiency that is present from birth, which results from inborn errors of thyroid hormone synthesis.",Disorder
7420,"congenital coronary artery aneurysm is a rare congenital coronary artery malformation defined as a more than 1.5 fold the normal size dilatation of a coronary artery segment with no identified underlying inflammatory or connective tissue disease. it may be asymptomatic or may present with angina pectoris, myocardial infarction, sudden cardiac death, fistula formation, pericardial tamponade, compression of surrounding structures, or congestive heart failure.",Disorder
7421,"congenital coronary artery aneurysm is a rare congenital coronary artery malformation defined as a more than 1.5 fold the normal size dilatation of a coronary artery segment with no identified underlying inflammatory or connective tissue disease. it may be asymptomatic or may present with angina pectoris, myocardial infarction, sudden cardiac death, fistula formation, pericardial tamponade, compression of surrounding structures, or congestive heart failure.",Disorder
7422,"congenital coronary artery aneurysm is a rare congenital coronary artery malformation defined as a more than 1.5 fold the normal size dilatation of a coronary artery segment with no identified underlying inflammatory or connective tissue disease. it may be asymptomatic or may present with angina pectoris, myocardial infarction, sudden cardiac death, fistula formation, pericardial tamponade, compression of surrounding structures, or congestive heart failure.",Disorder
7423,"premature closure of the arterial duct is a rare arterial duct anomaly, defined as a significant constriction or closure of the fetal arterial duct in the absence of structural heart defects with pathognomonic features of increased right ventricular afterload, tricuspid regurgitation and, consequently, right atrial dilation and right ventricular hypertrophy. the severity of symptoms is related to the degree and rate of ductal constriction and ranges from mild postnatal respiratory distress to development of ventricular failure with fetal hydrops and intrauterine death or severe cardiopulmonary compromise in the postnatal period. it may be associated with a prenatal exposure to cyclooxygenase inhibitors or corticosteroids.",Disorder
7440,"lissencephaly due to lis1 mutation is a cerebral malformation with epilepsy characterized predominantly by posterior isolated lissencephaly with developmental delay, intellectual disability and epilepsy that usually evolves from west syndrome to lennox-gastaut syndrome. additional features include muscular hypotonia, acquired microcephaly, failure to thrive and poor control of airways leading to aspiration pneumonia.",Disorder
7445,"a primary adrenal insufficiency caused by a sudden defective production of adrenal steroids (cortisol and aldosterone). it represents an emergency, thus the rapid recognition and prompt therapy are critical for survival even before the diagnosis is made.",Disorder
7447,"twin twin transfusion syndrome (ttts) is a rare condition seen in twin monochorionic pregnancies, typically developing during the 15-26 week gestation period and usually due to unbalanced intertwin placental anastomoses, where an unequal exchange of blood between twins causes oligohydramnios in one sac and polyhydramnios in the other which can lead to a high perinatal mortality rate and a high rate of disability in survivors if left untreated",Disorder
7461,deafness-infertility syndrome (dis) is a very rare syndrome associating sensorineural deafness and male infertility.,Disorder
7464,"15q24 microdeletion syndrome is a rare chromosomal anomaly characterized cytogenetically by a 1.7-6.1 mb deletion in chromosome 15q24 and clinically by pre- and post-natal growth retardation, intellectual disability, distinct facial features, and genital, skeletal, and digital anomalies.",Subtype of disorder
7467,"a rare neuroendocrine tumor arising from neural crest-derived paraganglion cells (most often in the para-aortic region at the level of renal hilia, organ of zuckerkandl, thoracic paraspinal region, bladder, and carotid body) not associated with catecholamine secretion. these tumors are usually clinically silent and symptoms, if present, are nonspecific and depend on the location of the tumor. association with certain hereditary cancer-predisposing syndromes, such as multiple endocrine neoplasia, neurofibromatosis type 1 or von hippel lindau syndrome, may be observed.",Disorder
7485,"distal monosomy 14q is a rare chromosomal anomaly associated with various phenotypic features depending on the size of the deletion. the clinical features may include global developmental delay, hypotonia, congenital heart defects, dysmorphic features (high forehead, small palpebral fissures, epicanthi, blepharophimosis, broad and flat nasal bridge, broad philtrum, thin upper lip, high arched palate, pointed chin, malformed ears). high-pitched, weak cry, seizures and various dental and oftalmological anomalies were also reported.",Disorder
7491,"distal monosomy 19p13.3 is a rare chromosomal anomaly associated with a wide range of phenotypic features depending on the size of the deletion. it may present with intrauterine growth retardation, failure to thrive, global developmental delay, dysmorphic features (such as broad forehead, midface retrusion, broad nasal bridge, micrognathia, smooth philtrum, low-set, dysplastic ears), congenital anomalies (such as atrial septal defect, gastrointestinal anomalies, renal and urogenital malformations, agenesis of the corpus callosum) and other clinical features (such as hearing loss, visual impairment and immune dysregulation).",Disorder
7492,"distal monosomy 6p is responsible for a distinct chromosome deletion syndrome with a recognizable clinical picture including intellectual deficit, ocular abnormalities, hearing loss, and facial dysmorphism.",Disorder
7520,"mosaic trisomy 5 is a rare chromosomal anomaly syndrome with a variable phenotype ranging from clinically normal to patients presenting intrauterine growth retardation, congenital heart anomalies (mainly ventricular septal defect), multiple dysmorphic features (e.g. hypertelorism, prominent nasal bridge) and other congenital anomalies (incl. eventration of diaphragm, agenesis of corpus callosum, cloverleaf skull, clinodactyly, anteriorly placed anus). psychomotor development may be normal in spite of low growth parameters being associated.",Disorder
7523,idiopathic congenital hypothyroidism is a type of primary congenital hypothyroidism (see this term) whose cause and prevalence are unknown.,Disorder
7580,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Disorder
7581,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Disorder
7582,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Disorder
7583,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Disorder
7584,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Disorder
7585,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Disorder
7586,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Subtype of disorder
7587,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Group of disorders
7588,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Group of disorders
7589,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Group of disorders
7590,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Group of disorders
7591,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Group of disorders
7592,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Group of disorders
7593,"brachydactyly-syndactyly, zhao type is a recently described syndrome associating a brachydactyly type a4 (short middle phalanges of the 2nd and 5th fingers and absence of middle phalanges of the 2nd to 5th toes) and a syndactyly of the 2nd and 3rd toes. metacarpals and metatarsals anomalies are common.",Group of disorders
7620,a focal dystonia involving symmetrical benign essential blepharospasm (beb) and oromandibular dystonia.,Disorder
7639,a congenital genitourinary malformation belonging to the spectrum of the exstrophy-epispadias complex (eec) and is characterized in males by an ectopic meatus or a mucosal strip in place of the urethra on the penile dorsum and in females by bifid clitoris and a variable cleft of the urethra.,Subtype of disorder
7671,a form of castleman disease that is usually asymptomatic or that may present with enlarged lymph nodes.,Subtype of disorder
7713,"peripheral pulmonary stenosis is a rare congenital anomaly of the great arteries that may occur at single or multiple sites, in isolation or in association with other congenital heart defects (valvular pulmonary stenosis, atrial, or ventricular septal defects or tetralogy of fallot) and genetic syndromes (williams, alagile syndrome). clinical presentation is variable and includes heart murmurs, dyspnea, syncope, chest pain and pulmonary hypertension-associated symptoms.",Disorder
7714,"peripheral pulmonary stenosis is a rare congenital anomaly of the great arteries that may occur at single or multiple sites, in isolation or in association with other congenital heart defects (valvular pulmonary stenosis, atrial, or ventricular septal defects or tetralogy of fallot) and genetic syndromes (williams, alagile syndrome). clinical presentation is variable and includes heart murmurs, dyspnea, syncope, chest pain and pulmonary hypertension-associated symptoms.",Disorder
7715,"peripheral pulmonary stenosis is a rare congenital anomaly of the great arteries that may occur at single or multiple sites, in isolation or in association with other congenital heart defects (valvular pulmonary stenosis, atrial, or ventricular septal defects or tetralogy of fallot) and genetic syndromes (williams, alagile syndrome). clinical presentation is variable and includes heart murmurs, dyspnea, syncope, chest pain and pulmonary hypertension-associated symptoms.",Disorder
7732,"a form of congenital pulmonary venous return where all of the pulmonary veins drain into the right atrium or one of its tributaries, instead of the left atrium, leading to various manifestations such as fatigue, exertional dyspnea, pulmonary arterial hypertension, cyanosis and progressive congestive heart failure.",Disorder
7733,"a form of congenital pulmonary venous return where all of the pulmonary veins drain into the right atrium or one of its tributaries, instead of the left atrium, leading to various manifestations such as fatigue, exertional dyspnea, pulmonary arterial hypertension, cyanosis and progressive congestive heart failure.",Disorder
7735,"a form of congenital pulmonary venous return where one or a few of the pulmonary veins drain into the right atrium or one of its tributaries instead of the left atrium. some patients can be asymptomatic while others can manifest with non-specific signs such as frequent respiratory infections, fatigue and exertional dyspnea.",Disorder
7756,"juxtaposition of the atrial appendages is a rare atrial appendage anomaly when both appendages are located on the left or the right side of the great arteries. it is asymptomatic and is usually diagnosed incidentally, but is frequently associated with other congenital heart diseases.",Disorder
7765,"a rare bleeding disorder marked by the same biological anomalies as those seen in hereditary von willebrand disease (vwd) but which occurs in association with another underlying pathology, generally in elderly patients without any personal or family history of bleeding anomalies.",Disorder
7766,"a rare bleeding disorder marked by the same biological anomalies as those seen in hereditary von willebrand disease (vwd) but which occurs in association with another underlying pathology, generally in elderly patients without any personal or family history of bleeding anomalies.",Subtype of disorder
7767,"a rare bleeding disorder marked by the same biological anomalies as those seen in hereditary von willebrand disease (vwd) but which occurs in association with another underlying pathology, generally in elderly patients without any personal or family history of bleeding anomalies.",Subtype of disorder
7786,paternal uniparental disomy of chromosome 13 is an uniparental disomy of paternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier.,Disorder
7787,paternal uniparental disomy of chromosome 13 is an uniparental disomy of paternal origin that most likely does not have any phenotypic expression except from cases of homozygosity for a recessive disease mutation for which only father is a carrier.,Disorder
7789,"congenital eyelid retraction is a very rare kinetic eyelid anomaly that can affect the upper or lower eyelid, presents at birth, that in some cases can result in corneal exposure, and that may be associated with accessory levator muscle slips.",Disorder
7790,"congenital eyelid retraction is a very rare kinetic eyelid anomaly that can affect the upper or lower eyelid, presents at birth, that in some cases can result in corneal exposure, and that may be associated with accessory levator muscle slips.",Subtype of disorder
